alpha,k,0,1,2,3,4,5,6,7,8,9
1.0,751.0,0.8274647887323944,0.9,0.05118601747815231,0.3424036281179138,0.014796547472256474,0.006693440428380187,0.18531889290012032,0.5079185520361991,0.1571072319201995,0.011904761904761904
1.0,801.0,0.8274647887323944,0.8989473684210526,0.04868913857677903,0.35374149659863946,0.009864364981504316,0.004016064257028112,0.19253910950661854,0.5135746606334841,0.15586034912718205,0.014285714285714285
1.0,851.0,0.8274647887323944,0.9010526315789473,0.046192259675405745,0.35034013605442177,0.002466091245376079,0.002677376171352075,0.18411552346570398,0.5214932126696833,0.14588528678304238,0.011904761904761904
1.0,901.0,0.8274647887323944,0.9063157894736842,0.056179775280898875,0.33900226757369617,0.0036991368680641184,0.004016064257028112,0.19975932611311673,0.5237556561085973,0.14962593516209477,0.015476190476190477
1.0,951.0,0.8262910798122066,0.9042105263157895,0.05368289637952559,0.3276643990929705,0.002466091245376079,0.00535475234270415,0.19975932611311673,0.5282805429864253,0.15336658354114713,0.013095238095238096
5.0,1.0,0.892018779342723,0.9431578947368421,0.6117353308364545,0.6201814058956916,0.5684340320591862,0.6184738955823293,0.6606498194945848,0.7409502262443439,0.6271820448877805,0.5142857142857142
5.0,51.0,0.9284037558685446,0.9726315789473684,0.6629213483146067,0.6700680272108843,0.6917385943279901,0.6921017402945113,0.776173285198556,0.7624434389140271,0.7780548628428927,0.5666666666666667
5.0,101.0,0.9248826291079812,0.9726315789473684,0.651685393258427,0.655328798185941,0.6831072749691739,0.6720214190093708,0.7821901323706378,0.7601809954751131,0.7718204488778054,0.5583333333333333
5.0,151.0,0.9237089201877934,0.9715789473684211,0.6466916354556804,0.6530612244897959,0.6917385943279901,0.6639892904953146,0.776173285198556,0.755656108597285,0.7755610972568578,0.5416666666666666
5.0,201.0,0.9166666666666666,0.9715789473684211,0.6254681647940075,0.6587301587301587,0.6966707768187423,0.6572958500669344,0.7749699157641395,0.7613122171945701,0.7680798004987531,0.5321428571428571
5.0,251.0,0.9143192488262911,0.9726315789473684,0.6254681647940075,0.6621315192743764,0.6917385943279901,0.6572958500669344,0.7773766546329723,0.7658371040723982,0.7618453865336658,0.5214285714285715
5.0,301.0,0.9166666666666666,0.9736842105263158,0.6267166042446941,0.6598639455782312,0.6831072749691739,0.6479250334672021,0.7749699157641395,0.7624434389140271,0.7543640897755611,0.5261904761904762
5.0,351.0,0.9096244131455399,0.9715789473684211,0.6129837702871411,0.6632653061224489,0.6831072749691739,0.6398929049531459,0.7737665463297232,0.7635746606334841,0.7481296758104738,0.5261904761904762
5.0,401.0,0.9084507042253521,0.9726315789473684,0.6092384519350812,0.655328798185941,0.6744759556103576,0.6265060240963856,0.7713598074608905,0.7658371040723982,0.7456359102244389,0.5238095238095238
5.0,451.0,0.9072769953051644,0.9726315789473684,0.5967540574282147,0.6609977324263039,0.6732429099876696,0.606425702811245,0.7701564380264742,0.7658371040723982,0.7443890274314214,0.5154761904761904
5.0,501.0,0.9072769953051644,0.9736842105263158,0.5967540574282147,0.6621315192743764,0.6670776818742293,0.5890227576974565,0.7689530685920578,0.7680995475113123,0.7356608478802993,0.5202380952380953
5.0,551.0,0.903755868544601,0.9747368421052631,0.5880149812734082,0.6609977324263039,0.6695437731196054,0.5850066934404283,0.7713598074608905,0.7669683257918553,0.7319201995012469,0.5178571428571429
5.0,601.0,0.9061032863849765,0.9747368421052631,0.581772784019975,0.6632653061224489,0.6658446362515413,0.5796519410977242,0.7689530685920578,0.7703619909502263,0.7331670822942643,0.5083333333333333
5.0,651.0,0.903755868544601,0.9757894736842105,0.5830212234706617,0.6678004535147393,0.6609124537607891,0.5742971887550201,0.7653429602888087,0.7703619909502263,0.7281795511221946,0.5011904761904762
5.0,701.0,0.903755868544601,0.9747368421052631,0.5705368289637952,0.6678004535147393,0.657213316892725,0.5649263721552878,0.7641395908543923,0.7680995475113123,0.729426433915212,0.5023809523809524
5.0,751.0,0.9049295774647887,0.9747368421052631,0.5705368289637952,0.6655328798185941,0.6522811344019729,0.5622489959839357,0.7641395908543923,0.7692307692307693,0.7256857855361596,0.49642857142857144
5.0,801.0,0.9002347417840375,0.9747368421052631,0.5655430711610487,0.6632653061224489,0.655980271270037,0.5528781793842035,0.766546329723225,0.7692307692307693,0.7244389027431422,0.48928571428571427
5.0,851.0,0.8990610328638498,0.9768421052631578,0.5593008739076155,0.6632653061224489,0.655980271270037,0.5475234270414994,0.7701564380264742,0.7680995475113123,0.71571072319202,0.4869047619047619
5.0,901.0,0.8990610328638498,0.9768421052631578,0.5593008739076155,0.6666666666666666,0.6522811344019729,0.5448460508701473,0.7653429602888087,0.7658371040723982,0.7144638403990025,0.4845238095238095
5.0,951.0,0.9014084507042254,0.9768421052631578,0.5530586766541823,0.6689342403628118,0.6510480887792849,0.5421686746987951,0.7701564380264742,0.7647058823529411,0.7119700748129676,0.4869047619047619
9.0,1.0,0.9530516431924883,0.9831578947368421,0.9101123595505618,0.828798185941043,0.813810110974106,0.8755020080321285,0.9638989169675091,0.9321266968325792,0.8528678304239401,0.763095238095238
9.0,51.0,0.9694835680751174,0.9852631578947368,0.9001248439450686,0.8231292517006803,0.8224414303329223,0.8955823293172691,0.9638989169675091,0.9468325791855203,0.8790523690773068,0.819047619047619
9.0,101.0,0.9577464788732394,0.9863157894736843,0.885143570536829,0.8140589569160998,0.8101109741060419,0.891566265060241,0.9626955475330926,0.9343891402714932,0.85785536159601,0.8083333333333333
9.0,151.0,0.9507042253521126,0.9873684210526316,0.8776529338327091,0.8038548752834467,0.8014796547472256,0.8808567603748326,0.9638989169675091,0.9264705882352942,0.8566084788029925,0.7988095238095239
9.0,201.0,0.9401408450704225,0.9873684210526316,0.8664169787765293,0.7902494331065759,0.7879161528976573,0.8714859437751004,0.9638989169675091,0.9264705882352942,0.8466334164588528,0.7904761904761904
9.0,251.0,0.9342723004694836,0.988421052631579,0.850187265917603,0.782312925170068,0.7842170160295932,0.85809906291834,0.9626955475330926,0.919683257918552,0.8329177057356608,0.7785714285714286
9.0,301.0,0.931924882629108,0.988421052631579,0.8439450686641697,0.7777777777777778,0.781750924784217,0.8447121820615796,0.9626955475330926,0.918552036199095,0.8341645885286783,0.7702380952380953
9.0,351.0,0.9284037558685446,0.988421052631579,0.8426966292134831,0.7766439909297053,0.7768187422934648,0.8353413654618473,0.9626955475330926,0.9117647058823529,0.827930174563591,0.7702380952380953
9.0,401.0,0.92018779342723,0.988421052631579,0.83270911360799,0.7766439909297053,0.7731196054254007,0.8246318607764391,0.9626955475330926,0.9095022624434389,0.8241895261845387,0.7678571428571429
9.0,451.0,0.9166666666666666,0.988421052631579,0.8239700374531835,0.7732426303854876,0.7657213316892725,0.8165997322623829,0.9602888086642599,0.9083710407239819,0.8216957605985037,0.763095238095238
9.0,501.0,0.9143192488262911,0.9905263157894737,0.8139825218476904,0.7687074829931972,0.7644882860665845,0.8112449799196787,0.9614921780986763,0.9083710407239819,0.8104738154613467,0.7535714285714286
9.0,551.0,0.9131455399061033,0.9905263157894737,0.8114856429463171,0.7675736961451247,0.7620221948212084,0.8085676037483266,0.9590854392298436,0.9049773755656109,0.8092269326683291,0.7523809523809524
9.0,601.0,0.9107981220657277,0.9905263157894737,0.8052434456928839,0.7687074829931972,0.7558569667077681,0.8018741633199464,0.9566787003610109,0.8993212669683258,0.8029925187032418,0.7464285714285714
9.0,651.0,0.9072769953051644,0.9905263157894737,0.8039950062421972,0.7675736961451247,0.7558569667077681,0.7898259705488622,0.9530685920577617,0.9015837104072398,0.7980049875311721,0.7404761904761905
9.0,701.0,0.9025821596244131,0.9905263157894737,0.7990012484394506,0.7653061224489796,0.749691738594328,0.785809906291834,0.950661853188929,0.9004524886877828,0.7955112219451371,0.7333333333333333
9.0,751.0,0.8990610328638498,0.9905263157894737,0.7965043695380774,0.7619047619047619,0.752157829839704,0.7804551539491299,0.9482551143200962,0.8981900452488688,0.7917705735660848,0.7333333333333333
9.0,801.0,0.8990610328638498,0.9905263157894737,0.7927590511860175,0.764172335600907,0.7546239210850801,0.7710843373493976,0.9482551143200962,0.8947963800904978,0.7880299251870324,0.7297619047619047
9.0,851.0,0.897887323943662,0.9905263157894737,0.7902621722846442,0.7630385487528345,0.750924784217016,0.7617135207496654,0.9458483754512635,0.8936651583710408,0.7830423940149626,0.719047619047619
9.0,901.0,0.8967136150234741,0.9905263157894737,0.7827715355805244,0.7596371882086168,0.752157829839704,0.7550200803212851,0.9458483754512635,0.8914027149321267,0.7793017456359103,0.719047619047619
9.0,951.0,0.8943661971830986,0.9905263157894737,0.7802746566791511,0.7585034013605442,0.7472256473489519,0.7483266398929049,0.9422382671480144,0.8914027149321267,0.7768079800498753,0.705952380952381
13.0,1.0,0.9788732394366197,0.9842105263157894,0.9575530586766542,0.9024943310657596,0.9235511713933415,0.9223560910307899,0.9855595667870036,0.9366515837104072,0.9139650872817955,0.9047619047619048
